καλά;gut;Adjektiv;Lehrbuch 1a
το μήνυμα;die Botschaft;Nomen;Lehrbuch 1a
το κινητό;das Handy;Nomen;Lehrbuch 1a
το καφέ;das Café;Nomen;Lehrbuch 1a
το τάβλι;das Backgammon;Nomen;Lehrbuch 1a
το κέντρο;das Stadtzentrum;Nomen;Lehrbuch 1a
το παντελόνι;die Hose;Nomen;Lehrbuch 1a
το σπίτι;das Haus, die Wohnung;Nomen;Lehrbuch 1a
η μπάλα;der (Fuss-)Ball;Nomen;Lehrbuch 1a
το βιβλίο;das Buch;Nomen;Lehrbuch 1a
τα λεπτά;die Minuten;Nomen;Lehrbuch 1a
το παιδί;das Kind;Nomen;Lehrbuch 1a
ο καφές;der Kaffee;Nomen;Lehrbuch 1a
ο φοιτητής | η φοιτήτρια;der Student;Nomen;Lehrbuch 1a
η Γερμανία;Deutschland;Orte & Sprachen;Lehrbuch 1a
τα ελληνικά;Griechisch;Orte & Sprachen;Lehrbuch 1a
τα γερμανικά;Deutsch;Orte & Sprachen;Lehrbuch 1a
τα αρχαια ελληνικά;Altgriechisch;Orte & Sprachen;Lehrbuch 1a
τα νέα ελληνικά;Neugriechisch;Orte & Sprachen;Lehrbuch 1a
η Θεσσαλονίκη;Thessaloniki;Orte & Sprachen;Lehrbuch 1a
και;und, auch;Partikel;Lehrbuch 1a
όμως, αλλά;aber (2 W);Partikel;Lehrbuch 1a
ακόμη | ακόμα;noch;Partikel;Lehrbuch 1a
δε;nicht, kein;Partikel;Lehrbuch 1a
τίποτα & τίποτε;nichts;Partikel;Lehrbuch 1a
άλλο;mehr;Partikel;Lehrbuch 1a
όχι;nein;Partikel;Lehrbuch 1a
ευχαριστώ;danke;Partikel;Lehrbuch 1a
ναι;ja;Partikel;Lehrbuch 1a
μόνο;nur;Partikel;Lehrbuch 1a
λίγο;ein wenig;Partikel;Lehrbuch 1a
τώρα;jetzt;Partikel;Lehrbuch 1a
βέβαια;natürlich, freilich;Partikel;Lehrbuch 1a
λοιπόν;also;Partikel;Lehrbuch 1a
με;mit;Partikel;Lehrbuch 1a
εδώ;hier;Partikel;Lehrbuch 1a
σε ;in, auf, bei, zu;Partikel;Lehrbuch 1a
από;von, aus;Partikel;Lehrbuch 1a
εμείς;wir;Pronomen;Lehrbuch 1a
εσείς;ihr;Pronomen;Lehrbuch 1a
αυτοί;sie (m);Pronomen;Lehrbuch 1a
αυτές;sie (pl, f);Pronomen;Lehrbuch 1a
αυτά;sie (n);Pronomen;Lehrbuch 1a
εγώ;ich;Pronomen;Lehrbuch 1a
εσύ;du;Pronomen;Lehrbuch 1a
τι;was;Pronomen;Lehrbuch 1a
πώς;wie;Pronomen;Lehrbuch 1a
αυτή;sie;Pronomen;Lehrbuch 1a
αυτό;es;Pronomen;Lehrbuch 1a
αυτός;er;Pronomen;Lehrbuch 1a
ο;der (sg);Pronomen;Lehrbuch 1a
η;die (sg);Pronomen;Lehrbuch 1a
το;das (sg);Pronomen;Lehrbuch 1a
οι;der, die (pl);Pronomen;Lehrbuch 1a
τα;das (pl);Pronomen;Lehrbuch 1a
Καλημέρα;guten Morgen | Tag;Spruch;Lehrbuch 1a
καλησπέρα;guten Tag | Abend;Spruch;Lehrbuch 1a
γεια σου | σας;Hallo;Spruch;Lehrbuch 1a
Χαίρετε;Guten Tag (formell);Spruch;Lehrbuch 1a
πώς πάει;wie läuft's?;Spruch;Lehrbuch 1b
τι κάνεις;wie geht es dir?;Spruch;Lehrbuch 1b
τι κάνετε;wie geht es euch?;Spruch;Lehrbuch 1b
"πολύ καλά. Εσύ;";Sehr gut. Und dir?;Spruch;Lehrbuch 1b
μια χαρά;blendend, sehr gut;Spruch;Lehrbuch 1b
Είμαι | Είμαστε καλά;Mir | uns geht es gut;Spruch;Lehrbuch 1b
Έτσι κι έτσι;Es geht;Spruch;Lehrbuch 1b
Χάλια;Sehr schlecht;Spruch;Lehrbuch 1b
τι ωραία;wie schön;Spruch;Lehrbuch 1b
τι κρίμα;wie schade;Spruch;Lehrbuch 1b
δεν είμαι καλά;es geht mir nicht gut;Spruch;Lehrbuch 1b
Πώς σε λένε / Πώς σας λένε?;wie heisst du / wie heissen Sie?;Spruch;Lehrbuch 1b
Χαίρω πολύ;freut mich (dich kennenzulernen);Spruch;Lehrbuch 1b
με λένε;ich heisse;Spruch;Lehrbuch 1b
γεια σου | σας, Αντίο;Tschüss | Auf Wiedersehen;Spruch;Lehrbuch 1b
Καλό μεσημέρι;Schönen Mittag;Spruch;Lehrbuch 1b
Καλό απόγευμα;Schönen Nachmittag;Spruch;Lehrbuch 1b
Καλό βράδυ;Schönen Abend;Spruch;Lehrbuch 1b
στέλνω;schicken, senden;Verb;Lehrbuch 1b
είμαι;sein;Verb;Lehrbuch 1b
παίζω;spielen;Verb;Lehrbuch 1b
ψάχνω;suchen;Verb;Lehrbuch 1b
βρίσκω;finden;Verb;Lehrbuch 1b
κάνω;tun, machen;Verb;Lehrbuch 1b
μαγειρεύω;kochen;Verb;Lehrbuch 1b
βλέπω;sehen, gucken;Verb;Lehrbuch 1b
κερδίζω;gewinnen;Verb;Lehrbuch 1b
διαβάζω;lesen;Verb;Lehrbuch 1b
μπορώ;können;Verb;Lehrbuch 1b
φτάνω;ankommen;Verb;Lehrbuch 1b
χάνω;verlieren;Verb;Lehrbuch 1b
πινω;trinken;Verb;Lehrbuch 1b
ξέρω;wissen, kennen;Verb;Lehrbuch 1b
καταλαβαίνω;verstehen;Verb;Lehrbuch 1b
σπουδάζω;studieren;Verb;Lehrbuch 1b
μαθαίνω;lernen;Verb;Lehrbuch 1b
ελπίζω;hoffen;Verb;Lehrbuch 1b
μηδέν;0;Zahlen;Lehrbuch 1b
ένα;1;Zahlen;Lehrbuch 1b
δύο;2;Zahlen;Lehrbuch 1b
τρία;3;Zahlen;Lehrbuch 1b
τέσσερα;4;Zahlen;Lehrbuch 1b
πέντε;5;Zahlen;Lehrbuch 1b
έξι;6;Zahlen;Lehrbuch 1b
εφτά | επτά;7;Zahlen;Lehrbuch 1b
οκτώ οχτώ;8;Zahlen;Lehrbuch 1b
εννιά εννέα;9;Zahlen;Lehrbuch 1b
δέκα;10;Zahlen;Lehrbuch 1b
έντεκα | ένδεκα;11;Zahlen;Lehrbuch 1b
δώδεκα;12;Zahlen;Lehrbuch 1b
δεκατρία;13;Zahlen;Lehrbuch 1b
δεκατέσσερα;14;Zahlen;Lehrbuch 1b
δεκαπέντε;15;Zahlen;Lehrbuch 1b
δεκαέξι | δεκάξι;16;Zahlen;Lehrbuch 1b
δεκαεφτά | δεκαεπτά;17;Zahlen;Lehrbuch 1b
δεκαοκτώ | δεκαοχτώ;18;Zahlen;Lehrbuch 1b
δεκαεννιά | δεκαεννέα;19;Zahlen;Lehrbuch 1b
είκοσι;20;Zahlen;Lehrbuch 1b
φυσικά;natürlich;Adjektiv;Lehrbuch 2a
μάλιστα;richtig, jawohl;Adjektiv;Lehrbuch 2a
ο μαθητής η μαθήτρια;der Schüler;Nomen;Lehrbuch 2a
ο πινακας ανακοινώσεων;das schwarze Brett;Nomen;Lehrbuch 2a
η κοπέλα;die junge Frau;Nomen;Lehrbuch 2a
η ιατρική;die Medizin;Nomen;Lehrbuch 2a
το διαμέρισμα;das Appartement;Nomen;Lehrbuch 2a
τηλ.;Tel.;Nomen;Lehrbuch 2a
το τηλέφωνο;das Telefon;Nomen;Lehrbuch 2a
τα έπιπλα;das Möbel;Nomen;Lehrbuch 2a
η καρέκλα;der Stuhl;Nomen;Lehrbuch 2a
το τραπέζι;der Tisch;Nomen;Lehrbuch 2a
το κρεβάτι;das Bett;Nomen;Lehrbuch 2a
το κινητό;die Handynummer;Nomen;Lehrbuch 2a
ο δισκος;die Schallplatte;Nomen;Lehrbuch 2a
το σιντί;die CD;Nomen;Lehrbuch 2a
το πράγμα;die Sache, das Ding;Nomen;Lehrbuch 2a
ο | η δικηγόρος;der Rechtsanwalt;Nomen;Lehrbuch 2a
ο | η δημοσιογράφος;der Journalist;Nomen;Lehrbuch 2a
ο | η συγκάτοικος;der Mitbewohner;Nomen;Lehrbuch 2a
ο | η υπάλληλος;der Angestellte;Nomen;Lehrbuch 2a
η τράπεζα;die Bank;Nomen;Lehrbuch 2a
η γυναίκα;die Frau, Ehefrau;Nomen;Lehrbuch 2a
ο | η γραμματέας;der Sekretär;Nomen;Lehrbuch 2a
o | η γιατρός;der Arzt;Nomen;Lehrbuch 2a
ο | η μπέιμπι σίτερ;der Babysitter;Nomen;Lehrbuch 2a
η κόρη;die Tochter;Nomen;Lehrbuch 2a
η βοήθεια;die Hilfe;Nomen;Lehrbuch 2a
τα λεφτά;das Geld;Nomen;Lehrbuch 2a
η δουλειά;die Arbeit;Nomen;Lehrbuch 2a
η γλώσσα;die Sprache;Nomen;Lehrbuch 2a
οι ξένες γλώσσες;die Fremdsprache;Nomen;Lehrbuch 2a
ο νοσοκόμος η νοσοκόμα;der Krankenpfleger;Nomen;Lehrbuch 2a
ο δάσκαλος | η δασκάλα;der Lehrer;Nomen;Lehrbuch 2a
η αγγελία;die Anzeige;Nomen;Lehrbuch 2a
ο κύριος;Herr;Nomen;Lehrbuch 2a
ο ξένος;der Ausländer;Nomen;Lehrbuch 2a
το πάτωμα;der Fussboden;Nomen;Lehrbuch 2a
η φίλη;die Freundin;Nomen;Lehrbuch 2a
η Ελληνίδα;die Griechin;Nomen;Lehrbuch 2a
ο Έλληνας;der Grieche;Nomen;Lehrbuch 2a
η Γερμανίδα;die Deutsche;Nomen;Lehrbuch 2a
ο Γερμανός;der Deutsche;Nomen;Lehrbuch 2a
η Ισπανίδα;die Spanierin;Nomen;Lehrbuch 2a
ο Ισπανός;der Spanier;Nomen;Lehrbuch 2a
η Ελβετίδα;die Schweizerin;Nomen;Lehrbuch 2a
ο Ελβετός;der Schweizer;Nomen;Lehrbuch 2a
η Αυστριακή;die Österreicherin;Nomen;Lehrbuch 2a
ο Αυστριακός;der Österreicher;Nomen;Lehrbuch 2a
η Αγγλίδα;die Engländerin;Nomen;Lehrbuch 2a
ο Άγγλος;der Engländer;Nomen;Lehrbuch 2a
η Γαλλίδα;die Französin;Nomen;Lehrbuch 2a
ο Γάλλος;der Franzose;Nomen;Lehrbuch 2a
η Ιταλίδα;die Italienerin;Nomen;Lehrbuch 2a
ο Ιταλός;der Italiener;Nomen;Lehrbuch 2a
η Τουρκάλα;die Türkin;Nomen;Lehrbuch 2a
ο Τούρκος;der Türke;Nomen;Lehrbuch 2a
η Κινέζα;die Chinesin;Nomen;Lehrbuch 2a
ο Κινέζος;der Chinese;Nomen;Lehrbuch 2a
ο καθηγητής | η καθηγήτρια;der Gymnasiallehrer;Nomen;Lehrbuch 2a
η λάμπα;die Lampe;Nomen;Lehrbuch 2a
η κατσαρόλα;der Kochtopf;Nomen;Lehrbuch 2a
η σκούπα;der Besen | der Staubsauger;Nomen;Lehrbuch 2a
η Δευτέρα;Montag;Nomen;Lehrbuch 2a
το πιάτο;der Teller;Nomen;Lehrbuch 2a
το κουτάλι;der Löffel;Nomen;Lehrbuch 2a
το πιρούνι;die Gabel;Nomen;Lehrbuch 2a
το μαχαίρι;das Messer;Nomen;Lehrbuch 2a
ο φούρνος;der Backofen;Nomen;Lehrbuch 2a
το ευρώ;der Euro;Nomen;Lehrbuch 2b
το νοικοκυριό;der Haushalt;Nomen;Lehrbuch 2b
η πόρτα;die Tür;Nomen;Lehrbuch 2b
το παράθυρο;das Fenster;Nomen;Lehrbuch 2b
ο ανεμιστήρας;der Ventilator;Nomen;Lehrbuch 2b
το απόγευμα;am Nachmittag;Nomen;Lehrbuch 2b
η Μαδρίτη;Madrid;Orte & Sprachen;Lehrbuch 2b
τα αγγλικά;Englisch;Orte & Sprachen;Lehrbuch 2b
τα Ισπανικά;Spanisch;Orte & Sprachen;Lehrbuch 2b
η Ελβετία;die Schweiz;Orte & Sprachen;Lehrbuch 2b
η Αυστρία;Österreich;Orte & Sprachen;Lehrbuch 2b
η Αγγλία;England;Orte & Sprachen;Lehrbuch 2b
η Γαλλία;Frankreich;Orte & Sprachen;Lehrbuch 2b
η Ιταλία;Italien;Orte & Sprachen;Lehrbuch 2b
η Ισπανία;Spanien;Orte & Sprachen;Lehrbuch 2b
η Τουρκία;Türkei;Orte & Sprachen;Lehrbuch 2b
η Κίνα;China;Orte & Sprachen;Lehrbuch 2b
τα τουρκικά;Türkisch;Orte & Sprachen;Lehrbuch 2b
τα κινέζικα;Chinesisch;Orte & Sprachen;Lehrbuch 2b
τα γαλλικά;Französisch;Orte & Sprachen;Lehrbuch 2b
τα ιταλικά;Italienisch;Orte & Sprachen;Lehrbuch 2b
η κατερίνη;Katerini (Stadt);Orte & Sprachen;Lehrbuch 2b
η Ελλάδα;Griechenland;Orte & Sprachen;Lehrbuch 2b
ή;oder;Partikel;Lehrbuch 2b
άλλα;andere;Partikel;Lehrbuch 2b
για;für;Partikel;Lehrbuch 2b
αν;wenn, falls, ob;Partikel;Lehrbuch 2b
παρακαλώ;bitte;Partikel;Lehrbuch 2b
επειδή;weil, da;Partikel;Lehrbuch 2b
μπράβο;bravo;Partikel;Lehrbuch 2b
χωρίς;ohne;Partikel;Lehrbuch 2b
πού;wo;Partikel;Lehrbuch 2b
αύριο;morgen;Partikel;Lehrbuch 2b
από αύριο;ab morgen;Partikel;Lehrbuch 2b
πολύ;sehr;Partikel;Lehrbuch 2b
ποιος;wer;Pronomen;Lehrbuch 2b
μου;mein;Pronomen;Lehrbuch 2b
γιατί;warum, weil;Pronomen;Lehrbuch 2b
μας;unser;Pronomen;Lehrbuch 2b
...χρονών;… Jahre alt;Spruch;Lehrbuch 2b
συγνώμη;Verzeihung;Spruch;Lehrbuch 2b
τη λένε;sie heisst;Spruch;Lehrbuch 2b
εντάξει;in Ordnung;Spruch;Lehrbuch 2b
τι να κάνω;was soll ich machen;Spruch;Lehrbuch 2b
ούτε ... oύτε;weder … noch;Spruch;Lehrbuch 2b
"Τι δουλειά κάνετε;";Was machen Sie beruflich?;Spruch;Lehrbuch 2b
"Τι δουλειά κάνεις;";Was machst du beruflich?;Spruch;Lehrbuch 2b
έχω;haben;Verb;Lehrbuch 2b
πουλάω;verkaufen;Verb;Lehrbuch 2b
χαρίζω;(ver)schenken;Verb;Lehrbuch 2b
μετακομίζω;umziehen;Verb;Lehrbuch 2b
 προτιμάω;bevorzugen;Verb;Lehrbuch 2b
γελάω;lachen;Verb;Lehrbuch 2b
κάνω πλάκα;Spass machen;Verb;Lehrbuch 2b
ζητάω;suchen nach, verlangen;Verb;Lehrbuch 2b
μιλάω;sprechen, reden;Verb;Lehrbuch 2b
αγαπάω;lieben, mögen;Verb;Lehrbuch 2b
κάνω παζάρια;feilschen, handeln;Verb;Lehrbuch 2b
παίρνω τηλέφωνο;anrufen;Verb;Lehrbuch 2b
τηλεφωνώ;telefonieren;Verb;Lehrbuch 2b
δουλεύω;arbeiten;Verb;Lehrbuch 2b
ζω;leben;Verb;Lehrbuch 2b
τρώω;essen;Verb;Lehrbuch 2b
μένω;wohnen;Verb;Lehrbuch 2b
θέλω;wollen, mögen;Verb;Lehrbuch 2b
φεύγω;verlassen, weggehen;Verb;Lehrbuch 2b
αγοράζω;kaufen;Verb;Lehrbuch 2b
παίρνω;nehmen;Verb;Lehrbuch 2b
πενήντα;fünfzig;Zahlen;Lehrbuch 2b
το πρόγραμμα;das Programm;Nomen;Lehrbuch 3a
το καρνιβάλι;der Karneval;Nomen;Lehrbuch 3a
η Πέμπτη;Donnerstag;Nomen;Lehrbuch 3a
η πλατεία;der Platz;Nomen;Lehrbuch 3a
η ελευθερία;die Freiheit;Nomen;Lehrbuch 3a
πλούσιος, -α, -ο;reich, reichhaltig;Adjektiv;Lehrbuch 3a
μουσικός, -ή, -ό;Musik-;Adjektiv;Lehrbuch 3a
παραδοσιακός -ή, -ό;traditionell;Adjektiv;Lehrbuch 3a
ο χορός;der Tanz, Ball;Nomen;Lehrbuch 3a
όλος, -η -ο;ganz, alle;Partikel;Lehrbuch 3a
η Παρασκευή;Freitag;Nomen;Lehrbuch 3a
η αιθουσα;der Saal;Nomen;Lehrbuch 3a
το κέφι;die gute Laune;Nomen;Lehrbuch 3a
μέχρι, έως;bis;Partikel;Lehrbuch 3a
το πρωί;der Morgen;Nomen;Lehrbuch 3a
μεγάλος, -η, -ο;gross;Adjektiv;Lehrbuch 3a
αποκριάτικος, -η, -ο;Karnevals-;Adjektiv;Lehrbuch 3a
το Σάββατο;Samstag;Nomen;Lehrbuch 3a
